#Deuxième enfoncement	
#Hauteur (mm)	Aire (mm²)
2.4985	216.675976331361
2.493875	215.452781065089
2.48875	215.157396449704
2.483875	215.051360946746
2.47875	213.896331360947
2.47375	212.782958579882
2.46875	210.654674556213
2.46375	212.820828402367
2.45875	210.779644970414
2.45375	209.113372781065
2.44875	210.779644970414
2.44375	209.999526627219
2.43875	209.851834319527
2.43375	209.673846153846
2.42875	207.602366863905
2.42375	208.071952662722
2.41875	209.079289940828
2.41375	209.480710059172
2.40875	209.435266272189
2.40375	209.098224852071
2.39875	209.185325443787
2.39375	208.30674556213
2.38875	208.836923076923
2.38375	207.852307692308
2.37875	208.07573964497
2.37375	208.802840236686
2.36875	207.950769230769
2.36375	206.663195266272
2.35875	208.162840236686
2.35375	208.268875739645
2.34875	208.84449704142
2.343875	208.113609467456
2.33875	208.602130177515
2.333875	207.708402366864
2.32875	207.674319526627
2.323875	208.018934911243
2.31875	207.348639053254
2.313875	207.05325443787
2.308875	207.890177514793
2.303875	207.420591715976
2.298875	207.348639053254
2.293875	207.227455621302
2.288875	207.69325443787
2.283875	207.144142011834
2.278875	206.886627218935
2.273875	207.572071005917
2.268875	206.916923076923
2.263875	206.829822485207
2.258875	207.341065088757
2.253875	207.409230769231
2.248875	206.977514792899
2.243875	207.004023668639
2.238875	206.576094674556
2.233875	207.151715976331
2.228875	207.106272189349
2.223875	207.197159763314
2.218875	207.068402366864
2.213875	207.261538461538
2.208875	206.549585798817
2.204	208.390059171598
2.198875	208.507455621302
2.194	208.215857988166
2.189	207.602366863905
2.184	208.166627218935
2.179	207.269112426035
2.174	207.772781065089
2.169	206.049704142012
2.164	206.254201183432
2.159	206.220118343195
2.154	206.212544378698
2.149	206.295857988166
2.144	206.28449704142
2.139	206.000473372781
2.134	205.727810650888
2.129	206.318579881657
2.124	207.253964497041
2.119	205.602840236686
2.114	205.966390532544
2.108875	206.167100591716
2.104	206.470059171598
2.098875	206.674556213018
2.094	206.84875739645
2.088875	206.174674556213
2.083875	206.640473372781
2.078875	205.871715976331
2.073875	207.341065088757
2.068875	206.504142011834
2.063875	206.186035502959
2.058875	205.95124260355
2.053875	206.129230769231
2.048875	205.742958579882
2.043875	206.117869822485
2.038875	205.909585798817
2.033875	206.356449704142
2.028875	205.636923076923
2.023875	205.258224852071
2.018875	205.95124260355
2.013875	205.44
2.008875	205.758106508876
2.003875	206.019408284024
1.99875	206.462485207101
1.993875	205.943668639053
1.98875	205.663431952663
1.98375	205.830059171598
1.97875	205.432426035503
1.97375	205.716449704142
1.96875	206.189822485207
1.96375	205.269585798817
1.95875	205.557396449704
1.95375	206.250414201183
1.94875	206.231479289941
1.94375	206.496568047337
1.93875	207.147928994083
1.93375	206.814674556213
1.92875	207.409230769231
1.92375	207.416804733728
1.91875	207.12899408284
1.91375	206.133017751479
1.90875	207.447100591716
1.90375	207.246390532544
1.89875	207.458461538462
1.89375	206.390532544379
1.88875	206.292071005917
