#h	A
-0.0035	1212.02
0.096	1212.02
0.315875	1212.02
0.535875	1211.91
0.596	1212.14
0.676	1200.24
0.696125	1193.76
0.716125	1187.56
0.756	1175.88
0.796	1163.54
0.835875	1150.57
0.875875	1138.83
0.935875	1121.12
0.975875	1109.59
1.01588	1098.69
1.056	1087.34
1.116	1070.1
1.236	1033.8
1.31587	1010.38
1.39587	987.971
1.47588	963.049
1.596	924.976
1.71612	886.937
1.796	861.674
1.89587	831.919
1.97588	806.772
2.076	775.575
2.156	749.95
2.256	716.169
2.35587	683.559
2.41588	664.417
2.53587	625.523
2.616	599.03
2.69613	572.43
2.776	545.427
2.87587	513.412
2.97587	481.18
3.096	442.901
3.21612	402.577
3.296	374.165
3.43588	327.223
3.45588	320.136
