#h	A
-0.0035	1205.8
0.045875	1205.8
0.096	1205.8
0.146	1205.8
0.196125	1205.8
0.246	1205.8
0.296	1205.8
0.345875	1201.61
0.395875	1201.61
0.445875	1201.61
0.495875	1205.34
0.545875	1205.62
0.596	1205.8
0.646	1204.69
0.696125	1195.34
0.746	1180.97
0.796	1166.81
0.845875	1151.03
0.895875	1136.33
0.945875	1122.42
0.995875	1107.53
1.04587	1094.01
1.096	1080.6
1.146	1066.05
1.19612	1050.98
1.246	1035.92
1.296	1021.21
1.34588	1007.12
1.39587	992.271
1.44587	977.526
1.49588	962.519
1.54587	947.534
1.596	932.097
1.646	916.126
1.69612	899.972
1.746	884.111
1.796	868.476
1.84588	853.101
1.89587	838.638
1.94587	824.03
1.99587	809.076
2.04588	794.069
2.096	778.524
2.146	762.743
2.19613	746.688
2.246	729.614
2.296	712.707
2.34587	695.973
2.39588	680.148
2.44588	664.073
2.49587	648.015
2.54588	632.047
2.596	615.992
2.646	599.98
2.69613	583.65
2.746	567.164
2.796	550.518
2.84587	534.325
2.89588	518.626
2.94588	502.862
2.99587	486.828
3.04588	470.877
3.096	454.83
3.146	438.818
3.19613	422.408
3.246	405.304
3.296	388.07
3.34587	371.057
3.39588	354.438
3.44588	337.781
