#h	A
-0.0035	1201.33
0.096	1201.33
0.196	1201.33
0.295875	1201.33
0.395875	1201.33
0.495875	1201.33
0.595875	1201.87
0.696	1192.35
0.795875	1164.71
0.895875	1135.07
0.995875	1106.28
1.096	1079.41
1.196	1050.01
1.296	1020.15
1.39587	991.285
1.49588	961.448
1.59588	931.525
1.696	900.444
1.79587	869.16
1.89587	839.556
1.99587	809.998
2.096	780.361
2.196	749.458
2.296	716.515
2.39588	684.124
2.49587	652.005
2.596	620.155
2.696	587.75
2.796	554.584
2.89588	522.597
2.99587	490.475
3.09587	458.408
3.196	426.058
3.296	391.939
3.39588	358.848
3.49587	324.9
3.596	290.537
3.696	252.061
3.796	145.661
