#Hauteur(mm)	aire (mm²)
0	52.3287774531059
-0.00999999999999998	56.0207371100009
-0.02	61.6706569893487
-0.03	67.8533320765388
-0.04	69.8214723348101
-0.05	73.374304835517
-0.059875	76.9950042416816
-0.069875	81.2807993213309
-0.079875	86.3267037421058
-0.089875	92.4652653407484
-0.099875	96.2725987369215
-0.109875	101.155622584598
-0.119875	104.233386747102
-0.129875	109.04854368932
-0.139875	114.71203694976
-0.149875	119.028372136865
-0.16	121.838062022811
-0.17	126.605712131209
-0.18	127.898576680177
-0.19	130.782920162127
-0.2	135.241775850693
-0.21	140.294466962013
-0.22	145.245357715148
-0.23	148.964464134226
-0.24	151.017438024319
-0.250125	154.695824300123
-0.260125	158.876425676313
-0.270125	163.718729380715
-0.280125	167.142614761052
-0.290125	169.999811480818
-0.300125	173.698557828259
-0.310125	176.779715336035
-0.320125	180.101800358186
-0.330125	183.926100480724
-0.340125	188.11348854746
-0.350125	190.16306909228
-0.360125	192.952398906589
-0.370125	196.532378169479
-0.380125	199.800169667264
-0.390125	203.478555943067
-0.400125	208.795927985673
-0.410125	212.688095013668
-0.420125	216.546328588934
-0.43	221.890847393722
-0.440125	225.260439249694
-0.45	230.49637100575
-0.46	235.905363370723
-0.47	239.336035441606
-0.48	241.853897634084
-0.49	245.844471674993
-0.5	250.15062682628
-0.51	252.8008294844
-0.52	257.256291827693
-0.53	261.168818927326
-0.54	266.523517767933
-0.55	271.657649165803
-0.559875	275.892544066359
-0.569875	281.349043265152
-0.579875	285.947026109907
-0.589875	289.265717786785
-0.599875	293.565086247526
-0.609875	297.793194457536
-0.619875	302.380997266472
-0.629875	305.608068620982
-0.639875	309.910830426996
-0.649875	313.032708078047
-0.66	316.778961259308
-0.67	320.426807427656
-0.68	325.12998397587
-0.69	329.168064850599
-0.7	332.887171269677
-0.71	339.110566500141
-0.72	340.983693090772
-0.73	346.48091243284
-0.74	349.989631445
-0.750125	352.653407484212
-0.760125	356.776321990763
-0.770125	361.191064190781
-0.780125	366.389669148836
-0.790125	370.475256857385
-0.800125	372.884532001131
-0.810125	375.589028183618
-0.820125	379.216514280328
-0.830125	385.066641530776
-0.840125	388.531247054388
-0.850125	393.183523423508
-0.860125	397.126590630597
-0.870125	399.915920444905
-0.880125	404.493543218022
-0.890125	407.326986520879
-0.900125	411.823169007447
-0.910125	416.156470920916
-0.920125	419.190121594872
-0.93	422.278065793194
-0.94	426.255066453012
-0.95	430.035253087002
-0.96	434.042793854275
-0.97	437.772080309171
-0.98	441.945894994816
-0.99	447.015552832501
-1	452.536525591479
-1.01	455.838250541993
-1.02	458.888867942313
-1.03	465.685738523895
-1.04	470.958997077953
-1.05	475.580733339617
-1.059875	480.429823734565
-1.069875	484.67489867094
-1.079875	487.793382976718
-1.089875	493.192195305872
-1.099875	496.778961259308
-1.109875	502.011499670091
-1.119875	505.53039871807
-1.129875	510.53558299557
-1.139875	512.58516354039
-1.149875	516.667357903667
-1.16	522.167970591008
-1.17	524.845320011311
-1.18	529.378829295881
-1.19	533.41691017061
-1.2	539.341691017061
-1.21	542.897916863041
-1.22	546.501649542841
-1.23	549.542086907343
-1.24	554.153643133189
-1.250125	560.733339617306
-1.260125	564.768027146762
-1.270125	568.147799038552
-1.280125	570.977848996135
-1.290125	576.502215100386
-1.300125	580.743896691488
-1.310125	585.813554529173
-1.320125	589.885568856631
-1.330125	593.811669337355
-1.340125	595.810349703082
-1.350125	599.023847676501
-1.360125	602.919408049769
-1.370125	606.679234612122
-1.380125	611.110943538505
-1.390125	616.014327457819
-1.400125	619.333019134697
-1.410125	622.529550381751
-1.420125	626.391177302291
-1.43	630.198510698464
-1.440125	635.437835799793
-1.45	638.396832877745
-1.46	642.312753322651
-1.47	647.613158638891
-1.48	651.386558582336
-1.49	654.922424356678
-1.5	661.044019228957
-1.51	667.773022905081
-1.52	672.079178056367
-1.53	676.823074747856
-1.54	680.857762277312
-1.55	685.303044584787
-1.559875	689.700820058441
-1.569875	695.751154679989
-1.579875	700.311810726741
-1.589875	704.309171458196
-1.599875	708.303138844377
-1.609875	711.934018286361
-1.619875	717.013856159864
-1.629875	721.387878216609
-1.639875	725.717786784805
-1.65	728.992364973136
-1.66	732.304269959468
-1.67	737.502874917523
-1.68	742.195871429918
-1.69	747.004241681591
-1.7	750.472240550476
-1.71	756.855123008766
-1.72	760.448675652748
-1.73	764.96182486568
-1.740125	767.978508813272
-1.750125	771.110566500141
-1.760125	776.098784051277
-1.770125	779.298708643605
-1.780125	783.092468658686
-1.790125	786.682627957395
-1.800125	797.901027429541
-1.810125	799.624846828165
-1.820125	801.155245546234
-1.830125	803.089452351777
-1.840125	808.094636629277
-1.850125	811.973230276181
-1.860125	817.443302856066
-1.870125	822.390800263927
-1.880125	824.501461023659
-1.890125	830.385521726836
-1.900125	832.021114148365
-1.910125	836.415496276746
-1.920125	840.925252144406
-1.93	843.914789329814
-1.940125	848.244697898011
-1.95	852.174191724008
-1.96	856.43962673202
-1.97	862.853049297766
-1.98	867.142237722688
-1.99	870.891884249222
-2	875.008012065228
-2.01	879.792628899991
-2.02	883.484588556886
-2.03	887.878970685267
-2.04	892.806108021491
-2.05	897.214063530964
-2.059875	901.97832029409
-2.069875	905.588839664436
-2.079875	910.302196248468
-2.089875	917.441794702611
-2.099875	922.497879159204
-2.109875	928.86379489113
-2.119875	933.336223960788
-2.129875	936.369874634744
-2.139875	940.679423131304
-2.149875	943.865774342539
-2.16	947.099632387596
-2.17	950.028089358092
-2.18	957.194834574418
-2.19	960.791780563672
-2.2	965.301536431332
-2.21	969.723065321897
-2.22	972.787256103309
-2.23	977.185031576963
-2.24	979.987934772363
-2.250125	983.832594966538
-2.260125	990.466584975021
-2.270125	994.60985955321
-2.280125	998.111791874823
-2.290125	1002.01413893864
-2.300125	1008.66170232821
-2.310125	1013.57865962862
-2.320125	1016.81930436422
-2.330125	1019.44236026016
-2.340125	1023.11056650014
-2.350125	1025.43500801207
-2.360125	1029.52398906589
-2.370125	1035.77453105854
-2.380125	1040.37590724856
-2.390125	1042.88358940522
-2.400125	1044.56668866057
-2.410125	1049.35809218588
-2.420125	1055.88010180036
-2.43	1061.23819398624
-2.44	1066.85078706758
-2.45	1070.00659817136
-2.46	1071.98831181073
-2.47	1075.75492506363
-2.48	1080.12894712037
-2.49	1086.17928174192
-2.5	1090.71618437176
-2.51	1095.66028843435
-2.52	1101.57488924498
-2.53	1107.13997549251
-2.54	1109.15901592987
-2.55	1111.5207842398
-2.559875	1118.50768215666
-2.569875	1123.23461212178
-2.579875	1131.47026109907
-2.589875	1134.22565746065
-2.599875	1138.44697898011
-2.609875	1141.23970213969
-2.619875	1145.41012348006
-2.629875	1152.35969459893
-2.639875	1155.73267980017
-2.649875	1159.02083136959
-2.66	1163.0860590065
-2.67	1166.2147233481
-2.68	1168.4543312282
-2.69	1171.84767650108
-2.7	1176.83250070695
-2.71	1180.67376755585
-2.72	1184.71863512112
-2.73	1190.92167027995
-2.74	1196.33066264492
-2.750125	1202.98501272504
-2.762375	1201.77358846263
-2.770125	1203.5788481478
-2.780125	1208.98105382223
-2.792375	1210.70147987558
-2.800125	1214.36968611556
