#Hauteur (mm)	Aire
0.819125	709.12086552
0.824	711.78728303
0.829125	694.39359646
0.834125	703.61641364
0.839125	688.92728166
0.844125	701.06122928
0.849125	700.88325624
0.854125	695.73157235
0.859125	687.86897769
0.864125	686.63270068
0.869125	685.33286187
0.874125	679.98095831
0.879125	675.93524974
0.884125	682.33910109
0.889125	677.55607564
0.894125	670.95200462
0.899125	667.0175292
0.904125	677.36856833
0.909125	665.59374488
0.914125	668.37139554
0.919125	664.56404372
0.924125	659.2629896
0.929125	662.98771108
0.934125	668.37139554
0.939	663.09576614
0.944	646.6777532
0.949	641.69768617
0.954125	645.49550372
0.959125	637.78545738
0.964125	635.35739662
0.969125	634.03848927
0.974125	640.2897923
0.979125	635.35739662
0.984125	633.97810556
0.989125	630.08176722
0.994125	635.25569774
0.999125	627.6092132
1.004125	631.42609929
1.009125	630.08176722
1.014125	632.73229428
1.019125	630.20253464
1.024125	624.06246476
1.029125	630.20253464
1.034125	615.20194984
1.039125	620.21061968
1.044125	618.9012466
1.049125	616.51450101
1.054125	618.97434267
1.059125	606.41453099
1.064125	607.7461507
1.069125	604.13584046
1.074125	600.80202405
1.079125	596.26053344
1.084125	595.08146205
1.089125	593.17142996
1.094125	593.19367659
1.099125	587.63519718
1.104	588.57908991
1.109	587.00275727
1.114	582.84581555
1.119	584.86708079
1.124	582.18477283
1.129	579.64547892
1.134	577.73226874
1.139	576.66125241
1.144	575.62519507
1.149	575.70464732
1.154	569.85378363
1.159	569.13553529
1.164	566.12270597
1.169	561.72105132
1.174	559.35973045
1.179	553.91248419
1.184	551.48124534
1.189	550.85516161
1.194	547.82961993
1.199	544.92166758
1.204	543.09744392
1.209	543.18960853
1.214	540.04329943
1.219	540.45009495
1.224	537.92669149
1.229	536.39485211
1.234	536.21687907
1.239	535.1585751
1.244	531.01752383
1.249	528.81510746
1.254	527.18792538
1.259	519.75119478
1.264	520.40905941
1.269	513.40454905
1.274	513.64608389
1.279	512.81978049
1.284	512.37484789
1.289	510.97013211
1.294	509.12366182
1.299	508.77725001
1.304	507.1596022
1.309	504.59806166
1.314	503.9179504
1.319	499.26840473
1.324	499.71651542
1.329	495.52461471
1.334	495.90598551
1.339	494.18028264
1.344	489.63561394
1.349	488.68854312
1.354	484.09302498
1.359	481.57915579
1.364	476.56095168
1.369	476.94867866
1.374	472.52477738
1.379	469.15600198
1.384	463.76278325
1.389	460.2827747
1.394	457.81657686
1.399	457.01569818
1.404	454.68615821
1.409	450.7167238
1.414	447.33523604
1.419	445.80021857
1.424	441.07439874
1.429	439.53620318
1.434	435.56041259
1.439	435.2394255
1.444	433.5550378
1.449125	433.43427038
1.454125	426.19775945
1.459125	423.45506778
1.464125	421.8914475
1.469125	419.02798841
1.474125	415.53208941
1.479125	415.43674671
1.484125	412.46205447
1.489125	409.40473189
1.494125	410.24692574
1.499125	406.2552447
1.504125	405.75310648
1.509125	403.23923729
1.514125	400.70947765
1.519125	399.14903546
1.524125	397.42651068
1.529125	396.13302805
1.534125	391.48348238
1.539125	389.96753345
1.544125	388.12424125
1.549125	385.27031643
1.554125	383.47151749
1.559125	382.40685734
1.564125	381.14197752
1.569125	379.93748141
1.574125	377.26470772
1.579125	376.23818465
1.584125	375.47544305
1.589125	373.08551937
1.594125	373.04102611
1.599125	369.56101756
1.604	366.54501015
1.609125	365.14347246
1.614	364.36166232
1.619	363.37327633
1.624	363.14445385
1.629	359.92504868
1.634	360.28417285
1.639	356.97578116
1.644	355.24372211
1.649	354.04876027
1.654	350.42255958
1.659	348.78902132
1.664	346.39909764
1.669	344.9816695
1.674	343.04939078
1.679	341.28555083
1.684	338.38395466
1.689	335.77474277
1.694	334.9389051
1.699	332.12629545
1.704	331.64004768
1.709	329.13889085
1.714	326.31039075
1.719	325.52222443
1.724	323.09416367
1.729	322.92890299
1.734	320.86950067
1.739	319.67136074
1.744	316.219955
1.749	315.90532409
1.754	313.10860489
1.759	311.70388911
1.764	309.48876038
1.769	307.07976816
1.774	304.50551526
1.779	300.76490333
1.784	299.40468081
1.789	298.12391054
1.794	295.70538405
1.799	294.88225874
1.804	292.94362384
1.809	290.36301476
1.814	288.30996862
1.819	287.06415734
1.824	283.38710721
1.829	281.48025321
1.834	278.93142503
1.839	275.29569007
1.844	274.87618219
1.849	272.76910852
1.854	270.83047362
1.859	268.16405611
1.864	265.44678916
1.869	261.82694465
1.874	259.53554176
1.879	259.59274738
1.884	256.72928829
1.889	251.16763079
1.894	248.68872059
1.899	244.58898449
1.904	242.7425142
1.909	240.10152141
1.914	238.88749103
1.919	235.53460608
1.924	231.98150146
1.929	227.29381871
1.934	225.50137595
1.939	223.24175396
1.944	221.2904067
1.949125	218.37927626
1.954125	215.45225537
1.959125	213.84414183
1.964125	210.48172261
1.969125	208.97848604
1.974125	205.1139286
1.979125	203.19754033
1.984125	202.64137458
1.989125	200.66142451
1.994125	198.98974917
1.999125	195.50974062
2.004125	193.34228324
2.009125	190.87926349
2.014125	186.93843189
2.019125	185.00615317
2.024125	181.98696767
2.029125	179.23791982
2.034125	175.49095171
2.039125	172.23340946
2.044125	151.34700198
2.049125	143.34457136
2.054125	137.97359926
2.059125	132.12591366
2.064125	127.68930002
2.069125	124.20929147
2.074125	119.01629241
2.079125	113.48005963
2.084125	107.8008128
2.089125	104.71170932
2.094125	101.43192044
2.099125	96.26116801
2.104	93.19113307
2.109125	87.31802275
2.114	81.02222646
2.119	74.92347175
2.124	68.96773109
2.129	60.5743954
2.134	43.43813412
