#H theta alpha
0.582 133.143101659897 8.23619493461798
0.587 133.087934137806 8.23189890881844
0.592 132.974204169186 8.23786874224016
0.597 132.974204169186 8.22363560904646
0.602 132.932616344841 8.21669701331195
0.607 132.980994018059 8.19360721139008
0.612 132.930070151513 8.18843334179121
0.617 132.949590967023 8.17043467076667
0.622 132.958927009223 8.15425208849126
0.627 132.843499578385 8.16070184294455
0.632 132.722131029784 8.16819779434385
0.637 132.765416316348 8.14596053454342
0.642 132.669509701019 8.14881228609351
0.647 132.610098523382 8.14501295805963
0.652 132.702610214274 8.11365341505906
0.657 132.682240667656 8.10281440855185
0.662 132.569359430146 8.10874070226536
0.667 132.457326923744 8.11462396439337
0.672 132.391974628344 8.11194497377884
0.677125 132.393672090562 8.09661157178602
0.682 132.468360428163 8.06869017088002
0.687125 132.447142150435 8.05763595582328
0.692125 132.470057890381 8.03864724857755
0.697125 132.368210157289 8.04262273654018
0.702125 132.323227408507 8.03619833549027
0.707125 132.375000006162 8.01191477417161
0.712125 132.380941123925 7.99604026572672
0.717125 132.307950248543 7.99476031401729
0.722 132.401310670544 7.96297317984056
0.727125 132.317286290743 7.96329937280405
0.732 132.431016259362 7.92764753025915
0.737125 132.260421306433 7.9440415720133
0.742 132.295219281906 7.92303975336004
0.747 132.412344174962 7.88614297356193
0.752 132.269757348633 7.89769998078468
0.757 132.398764477216 7.85850478888189
0.762 132.324924870725 7.85737325634409
0.767 132.391974628344 7.82958584111226
0.772 132.375000006162 7.8175985909635
0.777 132.34784061067 7.80759886700922
0.782 132.361420308416 7.78980413961262
0.787 132.26296749976 7.79312600339858
0.792 132.32916852627 7.76532717483326
0.797 132.211194902105 7.77242513760427
0.802 132.365663963962 7.72774735623656
0.807 132.312193904088 7.72248355637326
0.812 132.346143148452 7.70066816844635
0.817 132.345294417343 7.68535428321232
0.822 132.336807106252 7.67146632426434
0.827 132.336807106252 7.65594137212412
0.831875 132.259572575324 7.65566404499558
0.836875 132.343596955125 7.62389138819416
0.841875 132.368210157289 7.60348556194429
0.846875 132.328319795161 7.59544694943434
0.851875 132.371605081725 7.57139532567976
0.856875 132.316437559634 7.56638902659329
0.861875 132.215438557651 7.5702738633897
0.866875 132.294370550797 7.53904658895932
0.871875 132.268908617524 7.52827875234569
0.876875 132.256177650888 7.51483959997801
0.881875 132.177245657741 7.51450488931995
0.886875 132.227320793178 7.48877223966931
0.891875 132.341050761798 7.45031633773121
0.896875 132.264664961979 7.44929311436857
0.901875 132.320681215179 7.42218568853665
0.906875 132.387730972798 7.39261136204238
0.911875 132.387730972798 7.37642814839911
0.916875 132.389428435016 7.35980451266464
0.921875 132.407251788307 7.34009439335275
0.926875 132.432713721581 7.31849713434436
0.931875 132.415739099398 7.30556256525034
