Ao	h
48.3051	0
52.4962	-0.013375
57.4661	-0.023375
59.7585	-0.033375
64.3856	-0.043375
67.4956	-0.053375
69.9076	-0.063375
73.7119	-0.073375
78.2529	-0.083375
80.8829	-0.0935
86.2835	-0.1035
86.2835	-0.1135
89.1245	-0.11925
91.2218	-0.11975
102.19	-0.165125
128.428	-0.215125
145.847	-0.265125
166.287	-0.315
182.967	-0.365
203.607	-0.415
220.941	-0.464875
241.214	-0.515
262.549	-0.565
277.148	-0.615125
