Ai	h
42.2645	0
45.2022	-0.013375
50.1281	-0.023375
50.8682	-0.033375
53.5914	-0.043375
56.8982	-0.053375
58.2923	-0.063375
61.1614	-0.073375
65.3279	-0.083375
69.2571	-0.0935
73.0562	-0.1035
74.3272	-0.1135
75.6071	-0.11925
81.1712	-0.11975
87.697	-0.165125
116.966	-0.215125
135.292	-0.265125
148.12	-0.315
165.352	-0.365
186.519	-0.415
208.946	-0.464875
229.892	-0.515
241.214	-0.565
254.176	-0.615125
