#A h theta
458.95 0.031875 149.023
460.527 0.036875 148.817
459.841 0.041875 148.737
456.993 0.047 148.772
460.107 0.051875 148.485
458.486 0.057 148.452
458.273 0.061875 148.348
459.347 0.067 148.167
459.205 0.072 148.056
459.37 0.077 147.928
459.291 0.082 147.814
459.639 0.087 147.676
458.521 0.092 147.618
459.207 0.097 147.462
458.357 0.102 147.39
458.83 0.107 147.245
457.902 0.112 147.177
458.739 0.117 147.012
457.45 0.122 146.964
457.923 0.127 146.819
458.588 0.132 146.663
457.208 0.137 146.62
458.192 0.142 146.447
458.166 0.147 146.329
458.015 0.152 146.218
457.976 0.157 146.101
458.533 0.162 145.951
458.301 0.167 145.845
458.931 0.172 145.691
459.491 0.177125 145.538
458.878 0.182 145.455
458.681 0.187125 145.344
458.946 0.192125 145.21
458.901 0.197125 145.093
459.027 0.202125 144.966
457.962 0.207125 144.906
458.227 0.212125 144.771
458.825 0.217125 144.619
457.631 0.222 144.568
457.995 0.227125 144.426
457.508 0.232 144.336
459.442 0.237125 144.107
457.331 0.242 144.106
457.322 0.247 143.987
456.508 0.252 143.912
458.196 0.257 143.7
456.71 0.262 143.662
458.482 0.267 143.445
455.339 0.272 143.497
456.615 0.277 143.308
455.84 0.282 143.23
456.554 0.287 143.071
455.562 0.292 143.006
455.963 0.297 142.864
455.601 0.302 142.764
456.313 0.307 142.605
455.608 0.312 142.523
456.13 0.317 142.375
456.184 0.322 142.252
456.193 0.327 142.131
455.327 0.331875 142.061
456.344 0.336875 141.885
456.128 0.341875 141.777
456.301 0.346875 141.647
455.861 0.351875 141.551
455.618 0.356875 141.444
456.107 0.361875 141.297
455.284 0.366875 141.222
455.161 0.371875 141.108
455.348 0.376875 140.978
455.409 0.381875 140.854
455.594 0.386875 140.723
455.272 0.391875 140.621
454.783 0.396875 140.527
454.356 0.401875 140.43
454.94 0.406875 140.277
454.402 0.411875 140.186
454.813 0.416875 140.043
454.383 0.421875 139.946
454.217 0.426875 139.834
453.878 0.431875 139.732
453.254 0.436875 139.645
453.474 0.441875 139.513
452.278 0.446875 139.457
452.419 0.451875 139.329
451.542 0.456875 139.256
449.949 0.461875 139.223
449.525 0.466875 139.125
448.293 0.471875 139.072
447.76 0.476875 138.98
447.157 0.481875 138.892
446.586 0.486875 138.802
445.352 0.491875 138.749
444.729 0.496875 138.662
444.596 0.501875 138.548
446.231 0.506875 138.337
444.937 0.511875 138.287
444.719 0.516875 138.177
444.555 0.521875 138.065
443.912 0.526875 137.979
443.794 0.531875 137.864
441.544 0.536875 137.866
441.352 0.541875 137.755
439.867 0.547 137.712
439.206 0.551875 137.63
439.03 0.557 137.515
437.451 0.561875 137.483
438.195 0.567 137.318
435.811 0.571875 137.33
435.624 0.577 137.216
433.503 0.582 137.21
433.054 0.587 137.113
433.678 0.592 136.957
432.191 0.597 136.917
431.467 0.602 136.835
429.062 0.607 136.845
428.524 0.612 136.753
426.655 0.617 136.733
424.978 0.622 136.704
425.646 0.627 136.545
426.423 0.632 136.38
424.12 0.637 136.384
424.415 0.642 136.246
424.022 0.647 136.145
420.785 0.652 136.201
419.669 0.657 136.14
420.279 0.662 135.984
420.885 0.667 135.829
420.609 0.672 135.721
419.031 0.677125 135.683
416.165 0.682 135.721
415.033 0.687125 135.658
413.092 0.692125 135.642
413.498 0.697125 135.497
412.842 0.702125 135.41
410.367 0.707125 135.424
408.753 0.712125 135.39
408.623 0.717125 135.274
405.401 0.722 135.332
405.434 0.727125 135.204
401.835 0.732 135.282
403.488 0.737125 135.065
401.371 0.742 135.062
397.665 0.747 135.143
398.824 0.752 134.956
394.9 0.757 135.049
394.787 0.762 134.932
392.017 0.767 134.961
390.825 0.772 134.904
389.832 0.777 134.835
388.068 0.782 134.809
388.397 0.787 134.667
385.648 0.792 134.695
386.349 0.797 134.533
381.947 0.802 134.652
381.43 0.807 134.557
379.291 0.812 134.551
377.793 0.817 134.51
376.437 0.822 134.461
374.924 0.827 134.421
374.897 0.831875 134.302
371.81 0.836875 134.348
369.834 0.841875 134.333
369.057 0.846875 134.251
366.737 0.851875 134.255
366.255 0.856875 134.158
366.629 0.861875 134.013
