#A h theta
458.417 -1.12275 176.852
458.417 -1.11813 176.744
458.417 -1.11312 176.627
458.417 -1.10813 176.51
458.417 -1.10312 176.393
458.417 -1.09813 176.277
458.417 -1.09312 176.16
458.417 -1.08813 176.043
458.417 -1.08312 175.926
458.417 -1.07812 175.81
458.417 -1.07312 175.693
458.417 -1.06812 175.576
458.417 -1.06312 175.46
458.417 -1.05812 175.343
458.417 -1.05313 175.226
458.417 -1.04812 175.11
458.417 -1.04313 174.993
458.417 -1.03812 174.876
458.417 -1.03313 174.76
458.417 -1.02812 174.643
458.417 -1.02313 174.526
458.417 -1.02313 174.526
458.417 -1.01812 174.41
458.417 -1.01812 174.41
458.417 -1.01312 174.293
458.417 -1.01312 174.293
458.417 -1.00812 174.176
458.417 -1.00312 174.06
458.417 -0.998125 173.943
458.417 -0.993125 173.826
458.417 -0.988125 173.71
458.417 -0.983125 173.593
458.417 -0.978125 173.476
458.417 -0.973125 173.36
458.417 -0.968125 173.243
458.417 -0.963125 173.127
458.417 -0.958125 173.01
458.417 -0.953 172.89
458.417 -0.948125 172.777
458.417 -0.943 172.657
458.417 -0.938125 172.543
458.417 -0.933 172.424
458.417 -0.928125 172.31
458.417 -0.923 172.191
458.417 -0.918 172.074
458.417 -0.913 171.957
458.417 -0.908 171.841
458.417 -0.903 171.724
458.417 -0.898 171.607
458.417 -0.893 171.491
458.029 -0.888 171.395
458.125 -0.883 171.274
458.264 -0.878 171.149
458.693 -0.873 171.009
458.621 -0.868 170.896
458.823 -0.863 170.769
460.122 -0.858 170.581
460.035 -0.853 170.469
460.251 -0.848 170.34
460.689 -0.843 170.2
461.284 -0.838 170.05
461.072 -0.833 169.945
461.246 -0.828 169.819
460.437 -0.823 169.747
462.032 -0.818 169.543
462.005 -0.812875 169.425
462.603 -0.807875 169.275
462.682 -0.802875 169.155
463.29 -0.797875 169.005
464.22 -0.792875 168.837
464.625 -0.787875 168.698
464.517 -0.782875 168.588
465.428 -0.778 168.424
465.831 -0.772875 168.283
465.959 -0.768 168.162
465.803 -0.762875 168.051
466.216 -0.758 167.915
466.349 -0.753 167.791
465.486 -0.748 167.722
465.07 -0.743 167.628
465.539 -0.738 167.485
465.562 -0.733 167.368
466.087 -0.728 167.222
463.907 -0.723 167.225
463.389 -0.718 167.136
463.057 -0.713 167.038
462.417 -0.708 166.956
463.065 -0.703 166.804
463.331 -0.698 166.673
463.412 -0.693 166.552
461.81 -0.688 166.522
462.164 -0.683 166.386
462.698 -0.678 166.241
462.745 -0.673 166.121
462.417 -0.668125 166.026
462.817 -0.663125 165.887
463.187 -0.658125 165.75
461.873 -0.653125 165.705
462.091 -0.648125 165.576
462.033 -0.643125 165.463
462.353 -0.638125 165.329
462.186 -0.633125 165.221
460.643 -0.628125 165.188
461.771 -0.623125 165.01
461.764 -0.618125 164.894
461.578 -0.613125 164.787
461.237 -0.608125 164.689
460.82 -0.603125 164.595
460.546 -0.598125 164.493
459.929 -0.593125 164.41
459.716 -0.588125 164.305
458.772 -0.583125 164.239
459.215 -0.578125 164.098
459.491 -0.573125 163.966
459.02 -0.568125 163.875
460.595 -0.563125 163.673
461.2 -0.558125 163.523
460.933 -0.553125 163.421
461.77 -0.548125 163.258
461.866 -0.543125 163.136
465.12 -0.538125 162.843
462.323 -0.533125 162.878
459.941 -0.528125 162.89
460.367 -0.523125 162.75
463.779 -0.518125 162.448
463.067 -0.513125 162.37
462.554 -0.508125 162.281
462.501 -0.503125 162.167
462.373 -0.498125 162.057
462.65 -0.493125 161.925
463.153 -0.488125 161.78
462.837 -0.483125 161.681
463.484 -0.478125 161.529
463.447 -0.473125 161.414
463.623 -0.468125 161.287
462.83 -0.463125 161.213
463.765 -0.458125 161.045
464.718 -0.453125 160.877
465.068 -0.448125 160.741
466.284 -0.443 160.555
463.769 -0.438125 160.577
465.419 -0.433 160.368
462.891 -0.428125 160.391
463.104 -0.423 160.259
463.25 -0.418 160.134
464.027 -0.413 159.975
462.87 -0.408 159.92
462.919 -0.403 159.801
461.328 -0.398 159.77
463.461 -0.393 159.537
462.643 -0.388 159.464
461.88 -0.383 159.388
461.123 -0.378 159.312
461.548 -0.373 159.172
458.586 -0.368 159.215
460.096 -0.363 159.016
460.268 -0.358 158.889
459.245 -0.353 158.827
458.255 -0.348 158.764
459.319 -0.343 158.589
459.526 -0.338 158.46
458.285 -0.333 158.41
458.111 -0.328 158.302
458.183 -0.322875 158.178
457.705 -0.318 158.089
458.732 -0.312875 157.914
458.451 -0.307875 157.812
458.444 -0.302875 157.695
458.732 -0.297875 157.562
458.737 -0.292875 157.444
458.999 -0.287875 157.312
458.442 -0.282875 157.225
458.767 -0.277875 157.09
460.08 -0.272875 156.902
459.518 -0.268 156.818
458.535 -0.262875 156.75
458.89 -0.258 156.616
458.96 -0.253 156.495
