#A h theta
458.417 -1.1882 177.638
458.417 -1.18315 177.52
458.417 -1.17766 177.392
458.417 -1.17218 177.264
458.417 -1.16667 177.135
458.417 -1.16117 177.007
458.417 -1.15563 176.878
458.417 -1.15011 176.749
458.417 -1.14455 176.619
458.417 -1.13899 176.489
458.417 -1.13342 176.359
458.417 -1.12784 176.229
458.417 -1.12225 176.098
458.417 -1.11664 175.967
458.417 -1.11104 175.837
458.417 -1.10541 175.705
458.417 -1.09979 175.574
458.417 -1.09414 175.442
458.417 -1.0885 175.311
458.417 -1.08283 175.178
458.417 -1.07717 175.046
458.417 -1.07717 175.046
458.417 -1.07148 174.913
458.417 -1.07148 174.913
458.417 -1.06579 174.781
458.417 -1.06579 174.781
458.417 -1.0601 174.648
458.417 -1.05439 174.515
458.417 -1.04868 174.381
458.417 -1.04296 174.248
458.417 -1.03723 174.114
458.417 -1.0315 173.981
458.417 -1.02575 173.846
458.417 -1.02 173.712
458.417 -1.01424 173.578
458.417 -1.00847 173.443
458.417 -1.0027 173.309
458.417 -0.996769 173.17
458.417 -0.991124 173.039
458.417 -0.985184 172.9
458.417 -0.979526 172.768
458.417 -0.973572 172.629
458.417 -0.967902 172.497
458.417 -0.961934 172.358
458.417 -0.956107 172.222
458.417 -0.950273 172.086
458.417 -0.944433 171.949
458.417 -0.938588 171.813
458.417 -0.932737 171.677
458.417 -0.92688 171.54
458.029 -0.921019 171.425
458.125 -0.915152 171.283
458.264 -0.90928 171.138
458.693 -0.903404 170.977
458.621 -0.897522 170.844
458.823 -0.891636 170.695
460.122 -0.885745 170.484
460.035 -0.87985 170.352
460.251 -0.873951 170.202
460.689 -0.868048 170.04
461.284 -0.86214 169.868
461.072 -0.856229 169.742
461.246 -0.850314 169.595
460.437 -0.844395 169.502
462.032 -0.838473 169.274
462.005 -0.832399 169.134
462.603 -0.82647 168.962
462.682 -0.820538 168.82
463.29 -0.814602 168.647
464.22 -0.808664 168.456
464.625 -0.802723 168.295
464.517 -0.796779 168.162
465.428 -0.790981 167.976
465.831 -0.784884 167.811
465.959 -0.779081 167.669
465.803 -0.772979 167.535
466.216 -0.767172 167.377
