#A h theta
459.593 0.111844 147.841
459.291 0.11734 147.726
459.069 0.12283 147.607
458.473 0.128315 147.509
458.043 0.133794 147.402
460.043 0.139267 147.164
459.919 0.144735 147.041
458.95 0.150197 146.963
460.527 0.155653 146.748
459.841 0.161104 146.655
456.993 0.166685 146.675
460.107 0.171989 146.382
458.486 0.177558 146.336
458.273 0.182851 146.221
459.347 0.188409 146.031
459.205 0.193825 145.909
459.37 0.199236 145.771
459.291 0.204642 145.647
459.639 0.210042 145.499
458.521 0.215436 145.43
459.207 0.220824 145.265
458.357 0.226207 145.182
458.83 0.231584 145.028
457.902 0.236955 144.949
458.739 0.242321 144.776
457.45 0.247681 144.717
457.923 0.253036 144.564
458.588 0.258385 144.4
457.208 0.263728 144.346
458.192 0.269066 144.166
458.166 0.274398 144.04
458.015 0.279724 143.92
457.976 0.285045 143.795
458.533 0.29036 143.638
458.301 0.29567 143.523
458.931 0.300974 143.362
459.491 0.306405 143.202
458.878 0.311565 143.111
458.681 0.316985 142.992
458.946 0.322266 142.851
458.901 0.327542 142.727
459.027 0.332813 142.593
457.962 0.338078 142.524
458.227 0.343337 142.383
458.825 0.348591 142.225
457.631 0.353709 142.166
457.995 0.359083 142.018
457.508 0.36419 141.921
459.442 0.369553 141.689
457.331 0.374649 141.679
457.322 0.37987 141.554
456.508 0.385086 141.472
458.196 0.390296 141.256
456.71 0.395501 141.21
458.482 0.400701 140.99
455.339 0.405895 141.033
456.615 0.411084 140.84
455.84 0.416268 140.756
456.554 0.421446 140.593
455.562 0.426619 140.522
455.963 0.431786 140.376
455.601 0.436949 140.27
456.313 0.442106 140.108
455.608 0.447258 140.021
456.13 0.452404 139.869
456.184 0.457545 139.742
456.193 0.462681 139.617
455.327 0.467684 139.543
456.344 0.47281 139.365
456.128 0.477931 139.252
456.301 0.483046 139.119
455.861 0.488156 139.019
455.618 0.493262 138.909
456.107 0.498362 138.759
455.284 0.503457 138.68
455.161 0.508547 138.563
