#A h theta
188.973 -0.28 171.383
202.242 -0.22525 169.179
202.242 -0.01025 163.923
202.242 0.084625 161.598
212.037 0.23975 157.189
212.037 0.43975 152.263
207.668 0.75475 144.685
207.668 0.91975 140.531
206.904 0.97475 139.182
186.47 1.02462 139.068
175.788 1.05963 138.767
151.681 1.10462 138.928
121.094 1.17475 138.691
100.151 1.20975 138.762
75.27 1.24475 138.817
59.5283 1.26975 138.555
33.6384 1.28975 137.804
