#A h theta
41.1712 0 174.883
52.1326 -0.005 174.117
59.6655 -0.015 173.789
63.5446 -0.03 173.888
79.0609 -0.06 173.493
91.6679 -0.089875 173.333
116.329 -0.144875 172.961
161.668 -0.235 172.09
184.619 -0.275 171.547
188.973 -0.28 171.383
