#h5 A5 h10 A10 h15 A15 h20 A20 h25 A25 h30 A30 h35 A35 h40 A40 h45 A45 h50 A50 h55 A55 h60 A60 h65 A65 h70 A70 h75 A75 h80 A80 h85 A85 h90 A90 h95 A95 h100 A100 h105 A105 h110 A110 h115 A115 h120 A120 h125 A125 h130 A130 h135 A135 h140 A140 h145 A145 h150 A150 h155 A155 h160 A160 h165 A165 h170 A170 h175 A175
0 2477.86476448026 0 2451.30088173391 0 2420.26821004313 0 2385.13757986328 0 2345.69900303056 0 2302.34227871414 0 2255.02845080523 0 2204.16204475541 0 2149.44438808608 0 2091.44166653462 0 2030.02646929552 0 1965.50416749781 0 1897.91932950273 0 1827.33868300026 0 1754.1097715014 0 1678.33395137096 0 1600.26175436732 0 1519.79937100235 0 1437.25817620421 0 1352.97000499937 0 1266.84531693283 0 1179.30172264908 0 1090.47421329446 0 1000.47494025481 0 909.611831635526 0 818.196483812182 0 726.408119561301 0 634.625170325043 0 543.068900532626 0 452.364101052708 0 362.893103394336 0 275.438110480344 0 191.177925317166 0 112.023625341963 0 42.3490075137887
0.1740966796875 2396.18419635892 0.1734130859375 2370.14964336577 0.172314453125 2340.00481934482 0.17080078125 2305.67607260085 0.168896484375 2267.39244585054 0.1666015625 2225.24705890295 0.1639404296875 2179.3440866624 0.1609130859375 2129.93905822691 0.1575439453125 2077.01590726668 0.153857421875 2020.85002323949 0.149853515625 1961.45171859763 0.145556640625 1898.98384007246 0.140966796875 1833.4910553674 0.1361328125 1765.29763573631 0.131005859375 1694.60635027102 0.12568359375 1621.26211885113 0.1201171875 1545.76224842149 0.1143310546875 1468.00679730263 0.1083740234375 1388.29385735968 0.10224609375 1306.82857823485 0.095947265625 1223.74047184956 0.0895263671875 1139.10362601058 0.082958984375 1053.26440562485 0.0762939453125 966.418717433663 0.0695556640625 878.750717754777 0.062744140625 790.375255538356 0.0558837890625 701.81607013071 0.0489990234375 613.16362434299 0.042138671875 524.793980315072 0.035302734375 437.172840396413 0.0285400390625 350.750488574392 0.0218994140625 266.30359391889 0.0154541015625 184.86805229062 0.009326171875 108.402054376131 0.0037841796875 41.0227906222077
0.26114501953125 2355.34899121046 0.26011962890625 2329.50827119734 0.2584716796875 2299.73468757342 0.256201171875 2265.80935856403 0.2533447265625 2228.10312659331 0.24990234375 2186.56401314675 0.24591064453125 2141.43632729596 0.24136962890625 2092.83108461164 0.23631591796875 2040.73273466377 0.2307861328125 1985.41502641938 0.2247802734375 1927.02274367321 0.2183349609375 1865.5803491724 0.2114501953125 1801.26253211496 0.20419921875 1734.25712480665 0.1965087890625 1664.7654426719 0.188525390625 1592.75681881634 0.18017578125 1518.47646567951 0.17149658203125 1442.18596144237 0.16256103515625 1363.82034046584 0.153369140625 1283.81476532032 0.1439208984375 1202.07214340959 0.13428955078125 1118.98952376551 0.1244384765625 1034.68731083533 0.11444091796875 949.359329534125 0.10433349609375 863.280175663146 0.0941162109375 776.550065014682 0.08382568359375 689.507501816152 0.07349853515625 602.445878240383 0.0632080078125 515.658839689966 0.0529541015625 429.570047668772 0.04281005859375 344.663458703237 0.03284912109375 261.739861688794 0.02318115234375 181.730136568941 0.0139892578125 106.579212413677 0.00567626953125 40.3782765205155
0.348193359375 2314.23757619483 0.346826171875 2288.88358000226 0.34462890625 2259.33811942837 0.3416015625 2225.96092548639 0.33779296875 2188.83124837076 0.333203125 2147.8979481671 0.327880859375 2103.54325599918 0.321826171875 2055.59800957335 0.315087890625 2004.46077436456 0.30771484375 1950.12471282659 0.29970703125 1892.6007875793 0.29111328125 1832.31222133061 0.28193359375 1769.03406647368 0.272265625 1703.21273496089 0.26201171875 1634.91712256931 0.2513671875 1564.11709429527 0.240234375 1491.17547824214 0.228662109375 1416.22732912896 0.216748046875 1339.32181266858 0.2044921875 1260.66060362843 0.19189453125 1180.47818629721 0.179052734375 1098.94068236029 0.16591796875 1016.16692877946 0.152587890625 932.348694333633 0.139111328125 847.758007810515 0.12548828125 762.581203468385 0.111767578125 677.139799429071 0.097998046875 591.637965629234 0.08427734375 506.453989116742 0.07060546875 421.964892991821 0.057080078125 338.628788992572 0.043798828125 257.162056232944 0.030908203125 178.618837588858 0.01865234375 104.771745070159 0.007568359375 39.7176290989234
0.43524169921875 2273.15319399195 0.43353271484375 2247.99705744707 0.4307861328125 2218.96935639974 0.427001953125 2185.99736550786 0.4222412109375 2149.44438808608 0.41650390625 2109.25699168732 0.40985107421875 2065.53474398928 0.40228271484375 2018.38785597654 0.39385986328125 1968.07264701356 0.3846435546875 1914.58283169492 0.3746337890625 1858.19348107741 0.3638916015625 1798.7940833328 0.3524169921875 1736.81300924172 0.34033203125 1672.04600925454 0.3275146484375 1604.94510536291 0.314208984375 1535.59460251843 0.30029296875 1463.86600314149 0.28582763671875 1390.25582728279 0.27093505859375 1314.80460383619 0.255615234375 1237.59379910351 0.2398681640625 1158.85572978716 0.22381591796875 1078.75505229826 0.2073974609375 997.508519042431 0.19073486328125 915.294705927781 0.17388916015625 832.279862843297 0.1568603515625 748.734168958753 0.13970947265625 664.798788287605 0.12249755859375 580.924940058251 0.1053466796875 497.3299132446 0.0882568359375 414.35920889224 0.07135009765625 332.526198043031 0.05474853515625 252.571586603779 0.03863525390625 175.490289907173 0.0233154296875 102.97965513943 0.00946044921875 39.0624202285998
0.5222900390625 2232.10431473271 0.5202392578125 2207.14848150439 0.516943359375 2178.49537303211 0.51240234375 2146.070969048 0.506689453125 2109.95425676371 0.4998046875 2070.37276389434 0.4918212890625 2027.4223186298 0.4827392578125 1981.07307835344 0.4726318359375 1931.71375775042 0.461572265625 1879.20124307587 0.449560546875 1823.67786358962 0.436669921875 1765.42641875123 0.422900390625 1704.48004830869 0.4083984375 1641.01660862682 0.393017578125 1575.10423974296 0.37705078125 1506.83375412542 0.3603515625 1436.55484229364 0.3429931640625 1364.39252391812 0.3251220703125 1290.2751249597 0.30673828125 1214.50930197408 0.287841796875 1137.21077266194 0.2685791015625 1058.64438379629 0.248876953125 978.91611764013 0.2288818359375 898.296675944149 0.2086669921875 816.758540728556 0.188232421875 734.838353090468 0.1676513671875 652.486789557054 0.1469970703125 570.228611588031 0.126416015625 488.141493792119 0.105908203125 406.754846153807 0.0856201171875 326.478172315349 0.0656982421875 248.02193662934 0.0463623046875 172.345659765833 0.027978515625 101.169570417673 0.0113525390625 38.3917805021273
0.60933837890625 2190.81592514635 0.60694580078125 2166.3464422291 0.6031005859375 2137.92817304374 0.597802734375 2106.05088271349 0.5911376953125 2070.51106665066 0.58310546875 2031.53481359376 0.57379150390625 1989.21770235697 0.56319580078125 1943.79975834336 0.55140380859375 1895.25922280443 0.5385009765625 1843.59057079839 0.5244873046875 1789.19467798797 0.5094482421875 1731.95828611447 0.4933837890625 1672.17166294472 0.47646484375 1609.75819998196 0.4585205078125 1545.15617039304 0.439892578125 1478.20419509976 0.42041015625 1409.24888277025 0.40015869140625 1338.41421735418 0.37930908203125 1265.73986842411 0.357861328125 1191.41339503054 0.3358154296875 1115.65356465366 0.31334228515625 1038.51108087988 0.2903564453125 960.295650327608 0.26702880859375 881.17110146878 0.24344482421875 801.288167173623 0.2196044921875 720.898578670013 0.19559326171875 640.206143271181 0.17149658203125 559.473640056753 0.1474853515625 478.964709328013 0.1235595703125 399.153673837692 0.09989013671875 320.425677984422 0.07664794921875 243.461537316825 0.05408935546875 169.186130375328 0.0326416015625 99.3754546427723 0.01324462890625 37.726936627758
0.69638671875 2149.58499782559 0.69365234375 2125.31980720741 0.6892578125 2097.4190568512 0.683203125 2065.94923506253 0.6755859375 2030.98626722882 0.66640625 1992.61568526834 0.65576171875 1951.06751195735 0.64365234375 1906.44289688623 0.63017578125 1858.72067809565 0.6154296875 1808.02608805397 0.5994140625 1754.62345073204 0.5822265625 1698.4008454655 0.5638671875 1639.7709750711 0.54453125 1578.52963900787 0.5240234375 1515.23157727393 0.502734375 1449.47453007652 0.48046875 1381.83997120139 0.45732421875 1312.44314684072 0.43349609375 1241.09589333366 0.408984375 1168.20598535014 0.3837890625 1093.98095594685 0.35810546875 1018.3610591615 0.3318359375 941.748944587373 0.30517578125 864.110572542421 0.27822265625 785.783250089136 0.2509765625 707.003553121084 0.22353515625 627.880056783291 0.19599609375 548.741306388763 0.1685546875 469.801647612219 0.1412109375 391.557579301575 0.11416015625 314.370388028853 0.08759765625 238.891832847925 0.06181640625 166.055584833121 0.0373046875 97.5645327460032 0.01513671875 37.0678889902596
0.78343505859375 2108.1415791603 0.78035888671875 2084.2232681859 0.7754150390625 2056.70104293995 0.768603515625 2025.77835650634 0.7600341796875 1991.3921140888 0.74970703125 1953.76234420479 0.73773193359375 1912.84679030262 0.72410888671875 1869.01443790449 0.70894775390625 1822.10995258312 0.6923583984375 1772.38700392803 0.6743408203125 1719.97568523271 0.6550048828125 1664.89084726063 0.6343505859375 1607.28912435914 0.61259765625 1547.33856112761 0.5895263671875 1485.21887473283 0.565576171875 1420.77186070943 0.54052734375 1354.4524135761 0.51448974609375 1286.37482471079 0.48768310546875 1216.46140908646 0.460107421875 1145.1074199583 0.4317626953125 1072.30429899324 0.40286865234375 998.200310640014 0.3733154296875 923.08854945451 0.34332275390625 847.026567242922 0.31300048828125 770.336358748612 0.2823486328125 693.072818361165 0.25147705078125 615.513168790685 0.22049560546875 537.957791936511 0.1896240234375 460.654415303898 0.1588623046875 383.96846821753 0.12843017578125 308.313993217646 0.09854736328125 234.314284750035 0.06954345703125 162.911746643751 0.0419677734375 95.7701827157084 0.01702880859375 36.4146379710457
0.8704833984375 2066.77832767089 0.8670654296875 2043.20695850326 0.861572265625 2016.06370017164 0.85400390625 1985.55078049459 0.844482421875 1951.74106441216 0.8330078125 1914.71640252389 0.8197021484375 1874.56779785077 0.8045654296875 1831.52652146142 0.7877197265625 1785.56851384759 0.769287109375 1736.81300924172 0.749267578125 1685.26307418033 0.727783203125 1631.31209909178 0.704833984375 1574.85969863088 0.6806640625 1516.07253855307 0.655029296875 1455.12892818238 0.62841796875 1392.10355867879 0.6005859375 1327.09339067912 0.5716552734375 1260.32967819426 0.5418701171875 1191.84318943953 0.51123046875 1121.91233214936 0.479736328125 1050.62990501651 0.4476318359375 978.03490392671 0.414794921875 904.417341703375 0.3814697265625 830.015172303388 0.3477783203125 754.777244447039 0.313720703125 679.111373916065 0.2794189453125 603.182759675331 0.2449951171875 527.203005092873 0.210693359375 451.455258727726 0.176513671875 376.324342322993 0.1427001953125 302.200812249006 0.1094970703125 229.730371912933 0.0772705078125 159.79771072612 0.046630859375 93.9602377923062 0.0189208984375 35.767183948175
